Name,Liters recyclyed,Percent of water reused,WRC
IND100B.csv,333565,17,333
IND101B.csv,0,0,0
IND102B.csv,0,0,0
IND103B.csv,3782,0,3
IND104B.csv,0,0,0
IND105B.csv,0,0,0
IND106B.csv,0,0,0
IND107B.csv,1404165,528,1404
IND108B.csv,81658,101,81
IND109B.csv,0,0,0
IND10B.csv,2002,0,2
IND110B.csv,0,0,0
IND111B.csv,17383,1,17
IND112B.csv,45881,6,45
IND113B.csv,395458,9,395
IND114B.csv,6394,1,6
IND115B.csv,758591,139,758
IND116B.csv,910527,19,910
IND117B.csv,0,0,0
IND118B.csv,0,0,0
IND119B.csv,1988,3,1
IND11B.csv,0,0,0
IND120B.csv,730234,199,730
IND121B.csv,0,0,0
IND122B.csv,0,0,0
IND123B.csv,0,0,0
IND124B.csv,49234,30,49
IND125B.csv,0,0,0
IND12B.csv,0,0,0
IND13B.csv,0,0,0
IND14B.csv,0,0,0
IND15B.csv,0,0,0
IND16B.csv,185132,16,185
IND17B.csv,226434,492,226
IND18B.csv,0,0,0
IND19B.csv,0,0,0
IND1B.csv,70207,52,70
IND20B.csv,1768,1,1
IND21B.csv,725946,41,725
IND22B.csv,2103345,203,2103
IND23B.csv,281662,28,281
IND24B.csv,742706,52,742
IND25B.csv,3308,5,3
IND26B.csv,545895,9,545
IND27B.csv,8475,26,8
IND28B.csv,170567,175,170
IND29B.csv,0,0,0
IND2B.csv,109898,11,109
IND30B.csv,6465,2,6
IND31B.csv,0,0,0
IND32B.csv,0,0,0
IND33B.csv,237610,306,237
IND34B.csv,0,0,0
IND35B.csv,4217,18,4
IND36B.csv,20957,3,20
IND37B.csv,0,0,0
IND38B.csv,0,0,0
IND39B.csv,0,0,0
IND3B.csv,0,0,0
IND40B.csv,0,0,0
IND41B.csv,0,0,0
IND42B.csv,0,0,0
IND43B.csv,0,0,0
IND44B.csv,5108,0,5
IND45B.csv,0,0,0
IND46B.csv,0,0,0
IND47B.csv,0,0,0
IND48B.csv,0,0,0
IND49B.csv,163033,18,163
IND4B.csv,65158,1,65
IND50B.csv,1278,2,1
IND51B.csv,0,0,0
IND52B.csv,0,0,0
IND53B.csv,0,0,0
IND54B.csv,0,0,0
IND55B.csv,0,0,0
IND56B.csv,0,0,0
IND57B.csv,0,0,0
IND58B.csv,49535,13,49
IND59B.csv,0,0,0
IND5B.csv,0,0,0
IND60B.csv,0,0,0
IND61B.csv,0,0,0
IND62B.csv,0,0,0
IND63B.csv,0,0,0
IND64B.csv,0,0,0
IND65B.csv,0,0,0
IND66B.csv,0,0,0
IND67B.csv,0,0,0
IND68B.csv,0,0,0
IND69B.csv,0,0,0
IND6B.csv,0,0,0
IND70B.csv,4262,0,4
IND71B.csv,0,0,0
IND72B.csv,12222,18,12
IND73B.csv,0,0,0
IND74B.csv,0,0,0
IND75B.csv,111281,7,111
IND76B.csv,143667,8,143
IND77B.csv,111345,67,111
IND78B.csv,0,0,0
IND79B.csv,0,0,0
IND7B.csv,0,0,0
IND80B.csv,0,0,0
IND81B.csv,0,0,0
IND82B.csv,543222,65,543
IND83B.csv,0,0,0
IND84B.csv,0,0,0
IND85B.csv,268766,145,268
IND86B.csv,0,0,0
IND87B.csv,0,0,0
IND88B.csv,0,0,0
IND89B.csv,71693,10,71
IND8B.csv,0,0,0
IND90B.csv,0,0,0
IND91B.csv,0,0,0
IND92B.csv,0,0,0
IND93B.csv,8719,7,8
IND94B.csv,0,0,0
IND95B.csv,40535,31,40
IND96B.csv,36320,118,36
IND97B.csv,0,0,0
IND98B.csv,0,0,0
IND99B.csv,621628,125,621
IND9B.csv,0,0,0
